Model,Train_R2,Val_R2,Train_RMSE,Val_RMSE,Train_MAE,Val_MAE
LinearRegression,0.09178240329004927,0.10291363767725725,5.475615024498162,4.495515804155039,3.2389096623428766,3.0281371387119638
Ridge,0.09178238721269405,0.10292377528608176,5.475615072963093,4.495490403083662,3.2388417752599143,3.028024156558577
Lasso,0.007674553749612012,0.009658207945597352,5.723543850680957,4.723402496329832,3.387647509193408,3.118365085739735
ElasticNet,0.03738726105706225,0.04541608992150448,5.637204017710396,4.637345529533885,3.3143415005916665,3.0382685562775644
