Model,Train_R2,Val_R2,Train_RMSE,Val_RMSE,Train_MAE,Val_MAE,Overfitting,Overfitting_Gap
Ridge,0.8741524432375214,0.8991961638923989,2.3752552681116295,1.6122762065833973,1.1616466003830597,1.0004855066407028,False,-0.025043720654877477
RandomForest,0.5535891675754199,0.7000691531535674,4.4735805136160955,2.7810671931298456,1.9521812717238018,1.7590686702965492,False,-0.14647998557814756
GradientBoosting,0.33189853787827306,0.28450914264164473,5.472794070257518,4.295393537551996,3.033732201310713,2.864398462571573,False,0.04738939523662833
ElasticNet,0.19216293131102113,0.1930791363178539,6.017966758599439,4.561591465489901,3.2317266625433434,3.027094912543698,False,-0.0009162050068327598
Lasso,0.0,-0.006373949068264606,6.695575256537877,5.094254152562554,3.6100136272075423,3.385502432834509,False,0.006373949068264606
